R2_log,MAE_log,RMSE_log,MAPE_log,MAE_Orig,RMSE_Orig,MAPE_Orig,Model
0.9996145963668823,0.009843717329204082,0.019933136160111834,9.528415650129318,1.0123541694574277e-05,3.71990791408508e-05,150.19648270221998,SimpleNN
0.9995167255401611,0.010789411142468452,0.0218615963702639,8.87865498661995,7.493313684958936e-06,2.6653786996026985e-05,139.8114094492351,SimpleNN
0.9995793700218201,0.013490619137883186,0.020389633606783312,5.189004167914391,2.9628243667840413e-05,0.0001105812342689021,159.92897917750483,SimpleNN
0.999646008014679,0.011018989607691765,0.018798645439746537,6.335742771625519,1.75174152145953e-05,6.525259628798228e-05,144.092172137474,SimpleNN
0.9996735453605652,0.01263098418712616,0.018011297446775393,7.779426872730255,3.2183380909619635e-05,0.0001190343999236896,131.0805489890595,SimpleNN
0.9996519088745117,0.010386472567915916,0.018806606856985437,8.479264378547668,7.79533711489179e-06,2.6981206679074386e-05,161.3042257307941,SimpleNN
0.9997401237487793,0.009678089991211891,0.016111959959534513,11.50209754705429,1.2853142077221075e-05,5.341475015110161e-05,124.61024106738836,SimpleNN
0.9996980428695679,0.009798906743526459,0.017410557483036434,5.4727014154195786,9.392274195098798e-06,3.763523261656344e-05,148.39479478382785,SimpleNN
0.9995889663696289,0.010994081385433674,0.020068116952309006,5.912487953901291,9.646831436679024e-06,3.836044684379894e-05,140.15166169546455,SimpleNN
0.9995920658111572,0.010598743334412575,0.02020202661728246,7.858412712812424,1.1210957079898118e-05,4.4109628675806116e-05,145.827162744506,SimpleNN
